Customer ID,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,last_purchase_post,days_until_next_purchase,churned
12346.0,295,17,-64.67999999999302,2,5,1,8,High Value - At Risk,,,1
12347.0,9,7,5408.5,5,4,5,14,High Value - Loyal,2011-12-07 15:52:00,28.0,0
12348.0,44,5,2019.4,4,3,4,11,Mid Value - Stable,,,1
12349.0,377,4,2646.99,2,3,4,9,Mid Value - Stable,2011-11-21 09:51:00,11.0,0
12350.0,279,1,334.4,2,1,2,5,Low Value - Likely Churn,,,1
12351.0,344,1,300.93,2,1,2,5,Low Value - Likely Churn,,,1
12352.0,5,13,1889.21,5,5,4,14,High Value - Loyal,,,1
12353.0,173,2,406.76,3,2,2,7,Mid Value - Stable,,,1
12354.0,201,1,1079.4,3,1,3,7,Mid Value - Stable,,,1
12355.0,183,2,947.61,3,2,3,8,Mid Value - Stable,,,1
12356.0,215,5,6315.33,2,3,5,10,Mid Value - Stable,2011-11-17 08:40:00,7.0,0
12357.0,2,3,18287.66,5,3,5,13,High Value - Loyal,,,1
12358.0,120,4,3203.87,3,3,5,11,Mid Value - Stable,2011-12-08 10:26:00,28.0,0
12359.0,27,13,8806.14,4,5,5,14,High Value - Loyal,2011-12-02 11:21:00,22.0,0
12360.0,21,9,4212.89,4,4,5,13,High Value - Loyal,,,1
12361.0,256,4,511.25,2,3,2,7,Mid Value - Stable,,,1
12362.0,5,12,4804.39,5,5,5,15,High Value - Loyal,2011-12-06 15:40:00,27.0,0
12363.0,79,2,552.0,3,2,2,7,Mid Value - Stable,,,1
12364.0,9,3,1002.78,5,3,3,11,Mid Value - Stable,2011-12-02 10:22:00,22.0,0
12365.0,260,3,320.69,2,3,2,7,Mid Value - Stable,,,1
12366.0,603,1,500.24,1,1,2,4,Low Value - Likely Churn,,,1
12368.0,597,1,917.7,1,1,3,5,Low Value - Likely Churn,,,1
12369.0,382,3,1791.15,2,3,4,9,Mid Value - Stable,,,1
12370.0,20,7,4320.31,5,4,5,14,High Value - Loyal,,,1
12371.0,14,5,4067.38,5,3,5,13,High Value - Loyal,,,1
12372.0,41,3,1298.04,4,3,4,11,Mid Value - Stable,,,1
12373.0,280,3,1127.65,2,3,3,8,Mid Value - Stable,,,1
