Customer ID,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,last_purchase_post,days_until_next_purchase,churned,clv_6m,expected_loss,retention_action
12346.0,295,17,-64.67999999999302,2,5,1,8,High Value - At Risk,,,1,0.255147090853228,0.255147090853228,No Action
12347.0,9,7,5408.5,5,4,5,14,High Value - Loyal,2011-12-07 15:52:00,28.0,0,2107.632229130873,0.0,Loyalty / Upsell
12348.0,44,5,2019.4,4,3,4,11,Mid Value - Stable,,,1,738.1376481550922,738.1376481550922,High Priority Retention
12349.0,377,4,2646.99,2,3,4,9,Mid Value - Stable,2011-11-21 09:51:00,11.0,0,1157.9327818399827,0.0,Loyalty / Upsell
12350.0,279,1,334.4,2,1,2,5,Low Value - Likely Churn,,,1,,,Low Cost Engagement
12351.0,344,1,300.93,2,1,2,5,Low Value - Likely Churn,,,1,,,Low Cost Engagement
12352.0,5,13,1889.21,5,5,4,14,High Value - Loyal,,,1,736.5756750314393,736.5756750314393,High Priority Retention
12353.0,173,2,406.76,3,2,2,7,Mid Value - Stable,,,1,54.083554227358114,54.083554227358114,No Action
12354.0,201,1,1079.4,3,1,3,7,Mid Value - Stable,,,1,,,Low Cost Engagement
12355.0,183,2,947.61,3,2,3,8,Mid Value - Stable,,,1,212.30553945191696,212.30553945191696,Low Cost Engagement
12356.0,215,5,6315.33,2,3,5,10,Mid Value - Stable,2011-11-17 08:40:00,7.0,0,2273.087523982368,0.0,Loyalty / Upsell
12357.0,2,3,18287.66,5,3,5,13,High Value - Loyal,,,1,4325.177493184288,4325.177493184288,High Priority Retention
12358.0,120,4,3203.87,3,3,5,11,Mid Value - Stable,2011-12-08 10:26:00,28.0,0,647.5673079051012,0.0,Loyalty / Upsell
12359.0,27,13,8806.14,4,5,5,14,High Value - Loyal,2011-12-02 11:21:00,22.0,0,1861.5568866268275,0.0,Loyalty / Upsell
12360.0,21,9,4212.89,4,4,5,13,High Value - Loyal,,,1,1101.6843334626476,1101.6843334626476,High Priority Retention
12361.0,256,4,511.25,2,3,2,7,Mid Value - Stable,,,1,105.29778537959814,105.29778537959814,Low Cost Engagement
12362.0,5,12,4804.39,5,5,5,15,High Value - Loyal,2011-12-06 15:40:00,27.0,0,1195.6537585115295,0.0,Loyalty / Upsell
12363.0,79,2,552.0,3,2,2,7,Mid Value - Stable,,,1,242.8149617883621,242.8149617883621,Low Cost Engagement
12364.0,9,3,1002.78,5,3,3,11,Mid Value - Stable,2011-12-02 10:22:00,22.0,0,903.5025093550131,0.0,Loyalty / Upsell
12365.0,260,3,320.69,2,3,2,7,Mid Value - Stable,,,1,,,Low Cost Engagement
12366.0,603,1,500.24,1,1,2,4,Low Value - Likely Churn,,,1,-3.5550611659705,-3.5550611659705,No Action
12368.0,597,1,917.7,1,1,3,5,Low Value - Likely Churn,,,1,-3.5808998512646486,-3.5808998512646486,No Action
12369.0,382,3,1791.15,2,3,4,9,Mid Value - Stable,,,1,349.6389018840565,349.6389018840565,Low Cost Engagement
12370.0,20,7,4320.31,5,4,5,14,High Value - Loyal,,,1,1032.6822272558975,1032.6822272558975,High Priority Retention
12371.0,14,5,4067.38,5,3,5,13,High Value - Loyal,,,1,1071.3486836573186,1071.3486836573186,High Priority Retention
12372.0,41,3,1298.04,4,3,4,11,Mid Value - Stable,,,1,598.2532694159855,598.2532694159855,High Priority Retention
12373.0,280,3,1127.65,2,3,3,8,Mid Value - Stable,,,1,200.44935972001286,200.44935972001286,Low Cost Engagement
12374.0,390,3,2246.29,2,3,4,9,Mid Value - Stable,2011-11-14 15:37:00,5.0,0,598.6898972930416,0.0,Loyalty / Upsell
12375.0,67,1,230.3,3,1,1,5,Low Value - Likely Churn,2011-12-07 11:27:00,27.0,0,360.98108927730993,0.0,Low Cost Engagement
12376.0,359,2,503.15,2,2,2,6,Low Value - Likely Churn,,,1,17.736837015651147,17.736837015651147,No Action
12377.0,284,4,3426.32,2,3,5,10,Mid Value - Stable,,,1,578.5022834476443,578.5022834476443,High Priority Retention
12378.0,99,2,5416.32,3,2,5,10,Mid Value - Stable,,,1,1945.8062555367908,1945.8062555367908,High Priority Retention
12379.0,51,5,1618.27,4,3,4,11,Mid Value - Stable,,,1,431.8261290239239,431.8261290239239,Low Cost Engagement
12380.0,15,14,6847.61,5,5,5,15,High Value - Loyal,2011-11-18 11:27:00,8.0,0,1672.0162826556161,0.0,Loyalty / Upsell
12381.0,2,5,1656.95,5,3,4,12,Mid Value - Stable,2011-12-05 12:44:00,25.0,0,620.9075919521122,0.0,Loyalty / Upsell
12382.0,651,1,-18.38,1,1,1,3,Low Value - Likely Churn,,,1,-3.3202976253376866,-3.3202976253376866,No Action
12383.0,154,6,1839.31,3,4,4,11,Mid Value - Stable,,,1,408.72028932176056,408.72028932176056,Low Cost Engagement
12384.0,49,2,273.58000000000004,4,2,2,8,New / Low Engagement,2011-11-11 08:39:00,1.0,0,370.64112134087,0.0,Low Cost Engagement
12385.0,348,2,1923.4,2,2,4,8,Mid Value - Stable,,,1,,,Low Cost Engagement
12386.0,307,2,660.8,2,2,3,7,Mid Value - Stable,,,1,45.089029444152786,45.089029444152786,No Action
12387.0,384,1,143.94,2,1,1,4,Low Value - Likely Churn,,,1,,,Low Cost Engagement
12388.0,45,7,3614.71,4,4,5,13,High Value - Loyal,2011-11-24 12:30:00,14.0,0,1038.4310709778272,0.0,Loyalty / Upsell
12389.0,372,3,1433.33,2,3,4,9,Mid Value - Stable,,,1,318.5149258349526,318.5149258349526,Low Cost Engagement
12390.0,49,1,549.84,4,1,2,7,New / Low Engagement,,,1,,,Low Cost Engagement
12391.0,434,6,2286.93,1,4,4,9,High Value - At Risk,2011-11-18 12:07:00,8.0,0,567.5334976684464,0.0,Loyalty / Upsell
12392.0,560,1,234.75000000000003,1,1,1,3,Low Value - Likely Churn,,,1,-3.7844651807917673,-3.7844651807917673,No Action
12393.0,41,7,2376.75,4,4,4,12,Mid Value - Stable,,,1,820.2999197250372,820.2999197250372,High Priority Retention
12394.0,33,2,1272.48,4,2,4,10,New / Low Engagement,,,1,975.4944977571286,975.4944977571286,High Priority Retention
12395.0,0,16,4783.64,5,5,5,15,High Value - Loyal,2011-11-24 12:20:00,14.0,0,1084.8382707226767,0.0,Loyalty / Upsell
12396.0,643,1,931.43,1,1,3,5,Low Value - Likely Churn,,,1,-3.356482370183544,-3.356482370183544,No Action
12397.0,5,2,2409.9,5,2,4,11,New / Low Engagement,,,1,1896.0433928056136,1896.0433928056136,High Priority Retention
12398.0,15,1,1635.66,5,1,4,10,New / Low Engagement,,,1,,,Low Cost Engagement
12399.0,88,7,1962.3,3,4,4,11,Mid Value - Stable,,,1,477.1332662896256,477.1332662896256,Low Cost Engagement
12400.0,383,1,205.25,2,1,1,4,Low Value - Likely Churn,,,1,,,Low Cost Engagement
12401.0,272,1,84.3,2,1,1,4,Low Value - Likely Churn,,,1,,,Low Cost Engagement
12402.0,292,7,1244.15,2,4,4,10,High Value - At Risk,,,1,169.64919556033567,169.64919556033567,Low Cost Engagement
12403.0,19,3,1001.36,5,3,3,11,Mid Value - Stable,,,1,221.10454047460027,221.10454047460027,Low Cost Engagement
