Customer ID,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
12346.0,295,17,-64.67999999999302,2,5,1,8,High Value - At Risk
12347.0,9,7,5408.5,5,4,5,14,High Value - Loyal
12348.0,44,5,2019.4,4,3,4,11,Mid Value - Stable
12349.0,377,4,2646.99,2,3,4,9,Mid Value - Stable
12350.0,279,1,334.4,2,1,2,5,Low Value - Likely Churn
12351.0,344,1,300.93,2,1,2,5,Low Value - Likely Churn
12352.0,5,13,1889.21,5,5,4,14,High Value - Loyal
12353.0,173,2,406.76,3,2,2,7,Mid Value - Stable
12354.0,201,1,1079.4,3,1,3,7,Mid Value - Stable
12355.0,183,2,947.61,3,2,3,8,Mid Value - Stable
12356.0,215,5,6315.33,2,3,5,10,Mid Value - Stable
12357.0,2,3,18287.66,5,3,5,13,High Value - Loyal
12358.0,120,4,3203.87,3,3,5,11,Mid Value - Stable
12359.0,27,13,8806.14,4,5,5,14,High Value - Loyal
12360.0,21,9,4212.89,4,4,5,13,High Value - Loyal
12361.0,256,4,511.25,2,3,2,7,Mid Value - Stable
12362.0,5,12,4804.39,5,5,5,15,High Value - Loyal
12363.0,79,2,552.0,3,2,2,7,Mid Value - Stable
12364.0,9,3,1002.78,5,3,3,11,Mid Value - Stable
12365.0,260,3,320.69,2,3,2,7,Mid Value - Stable
12366.0,603,1,500.24,1,1,2,4,Low Value - Likely Churn
12368.0,597,1,917.6999999999999,1,1,3,5,Low Value - Likely Churn
12369.0,382,3,1791.15,2,3,4,9,Mid Value - Stable
12370.0,20,7,4320.31,5,4,5,14,High Value - Loyal
12371.0,14,5,4067.38,5,3,5,13,High Value - Loyal
12372.0,41,3,1298.04,4,3,4,11,Mid Value - Stable
12373.0,280,3,1127.65,2,3,3,8,Mid Value - Stable
12374.0,390,3,2246.29,2,3,4,9,Mid Value - Stable
12375.0,67,1,230.3,3,1,1,5,Low Value - Likely Churn
12376.0,359,2,503.15,2,2,2,6,Low Value - Likely Churn
12377.0,284,4,3426.32,2,3,5,10,Mid Value - Stable
12378.0,99,2,5416.32,3,2,5,10,Mid Value - Stable
12379.0,51,5,1618.27,4,3,4,11,Mid Value - Stable
12380.0,15,14,6847.61,5,5,5,15,High Value - Loyal
12381.0,2,5,1656.95,5,3,4,12,Mid Value - Stable
12382.0,651,1,-18.38,1,1,1,3,Low Value - Likely Churn
12383.0,154,6,1839.31,3,4,4,11,Mid Value - Stable
12384.0,49,2,273.58000000000004,4,2,2,8,New / Low Engagement
12385.0,348,2,1923.4,2,2,4,8,Mid Value - Stable
12386.0,307,2,660.8,2,2,3,7,Mid Value - Stable
12387.0,384,1,143.94,2,1,1,4,Low Value - Likely Churn
12388.0,45,7,3614.71,4,4,5,13,High Value - Loyal
12389.0,372,3,1433.33,2,3,4,9,Mid Value - Stable
12390.0,49,1,549.84,4,1,2,7,New / Low Engagement
12391.0,434,6,2286.93,1,4,4,9,High Value - At Risk
12392.0,560,1,234.75000000000003,1,1,1,3,Low Value - Likely Churn
12393.0,41,7,2376.75,4,4,4,12,Mid Value - Stable
12394.0,33,2,1272.48,4,2,4,10,New / Low Engagement
12395.0,0,16,4783.64,5,5,5,15,High Value - Loyal
12396.0,643,1,931.43,1,1,3,5,Low Value - Likely Churn
12397.0,5,2,2409.9,5,2,4,11,New / Low Engagement
12398.0,15,1,1635.6599999999999,5,1,4,10,New / Low Engagement
12399.0,88,7,1962.3,3,4,4,11,Mid Value - Stable
12400.0,383,1,205.25,2,1,1,4,Low Value - Likely Churn
12401.0,272,1,84.3,2,1,1,4,Low Value - Likely Churn
12402.0,292,7,1244.15,2,4,4,10,High Value - At Risk
12403.0,19,3,1001.36,5,3,3,11,Mid Value - Stable
12404.0,651,1,63.24,1,1,1,3,Low Value - Likely Churn
12405.0,118,1,1710.39,3,1,4,8,Mid Value - Stable
12406.0,92,6,4278.16,3,4,5,12,Mid Value - Stable
12407.0,19,5,1708.1200000000001,5,3,4,12,Mid Value - Stable
12408.0,2,14,4279.64,5,5,5,15,High Value - Loyal
12409.0,48,13,23090.47,4,5,5,14,High Value - Loyal
12410.0,270,4,1001.46,2,3,3,8,Mid Value - Stable
12411.0,379,1,346.9,2,1,2,5,Low Value - Likely Churn
12412.0,44,8,2581.03,4,4,4,12,Mid Value - Stable
12413.0,36,6,935.5,4,4,3,11,Mid Value - Stable
12414.0,186,8,692.41,3,4,3,10,Mid Value - Stable
12415.0,5,31,137913.88999999998,5,5,5,15,High Value - Loyal
12416.0,626,1,202.56,1,1,1,3,Low Value - Likely Churn
12417.0,8,25,6358.43,5,5,5,15,High Value - Loyal
12418.0,82,5,2016.95,3,3,4,10,Mid Value - Stable
12419.0,355,2,503.01,2,2,2,6,Low Value - Likely Churn
12420.0,33,1,600.39,4,1,3,8,New / Low Engagement
12421.0,84,7,914.35,3,4,3,10,Mid Value - Stable
12422.0,65,21,4119.35,3,5,5,13,High Value - Loyal
12423.0,68,10,2403.55,3,5,4,12,Mid Value - Stable
12424.0,132,7,3289.78,3,4,5,12,Mid Value - Stable
12425.0,47,3,1680.81,4,3,4,11,Mid Value - Stable
12426.0,164,3,1311.41,3,3,4,10,Mid Value - Stable
12427.0,29,3,832.63,4,3,3,10,Mid Value - Stable
12428.0,78,11,7468.860000000001,3,5,5,13,High Value - Loyal
12429.0,142,8,6529.99,3,4,5,12,Mid Value - Stable
12430.0,12,1,256.4,5,1,2,8,New / Low Engagement
12431.0,5,33,10719.41,5,5,5,15,High Value - Loyal
12432.0,12,5,5059.32,5,3,5,13,High Value - Loyal
12433.0,12,8,14946.88,5,4,5,14,High Value - Loyal
12434.0,54,5,1062.48,4,3,3,10,Mid Value - Stable
12435.0,49,6,13925.93,4,4,5,13,High Value - Loyal
12436.0,69,1,509.01,3,1,2,6,Low Value - Likely Churn
12437.0,5,44,11737.94,5,5,5,15,High Value - Loyal
12438.0,109,1,890.0699999999999,3,1,3,7,Mid Value - Stable
12439.0,652,3,1104.48,1,3,3,7,Mid Value - Stable
12440.0,426,3,768.15,1,3,3,7,Mid Value - Stable
12441.0,336,1,347.1,2,1,2,5,Low Value - Likely Churn
12443.0,701,1,485.31,1,1,2,4,Low Value - Likely Churn
12444.0,28,4,4068.82,4,3,5,12,Mid Value - Stable
12445.0,369,2,293.08000000000004,2,2,2,6,Low Value - Likely Churn
12446.0,27,1,1002.3100000000001,4,1,3,8,New / Low Engagement
12447.0,212,1,476.49,3,1,2,6,Low Value - Likely Churn
12448.0,13,1,449.45,5,1,2,8,New / Low Engagement
12449.0,61,5,3493.18,4,3,5,12,Mid Value - Stable
12450.0,125,7,666.95,3,4,3,10,Mid Value - Stable
12451.0,34,8,11358.39,4,4,5,13,High Value - Loyal
12453.0,103,1,707.09,3,1,3,7,Mid Value - Stable
12454.0,22,9,4292.71,4,4,5,13,High Value - Loyal
12455.0,42,10,5879.95,4,5,5,14,High Value - Loyal
12456.0,13,4,3153.89,5,3,5,13,High Value - Loyal
12457.0,27,14,2472.31,4,5,4,13,High Value - Loyal
12458.0,40,4,1777.49,4,3,4,11,Mid Value - Stable
12459.0,574,1,454.36,1,1,2,4,Low Value - Likely Churn
12460.0,425,1,326.65,1,1,2,4,Low Value - Likely Churn
12461.0,63,2,826.88,4,2,3,9,New / Low Engagement
12462.0,264,2,741.3100000000001,2,2,3,7,Mid Value - Stable
12463.0,15,7,1303.63,5,4,4,13,High Value - Loyal
12464.0,75,6,780.55,3,4,3,10,Mid Value - Stable
12465.0,138,1,440.94,3,1,2,6,Low Value - Likely Churn
12466.0,651,1,56.73,1,1,1,3,Low Value - Likely Churn
12467.0,355,2,0.0,2,2,1,5,Low Value - Likely Churn
12468.0,112,10,3624.55,3,5,5,13,High Value - Loyal
12469.0,492,2,3070.54,1,2,5,8,Mid Value - Stable
12470.0,659,1,211.95,1,1,1,3,Low Value - Likely Churn
12471.0,0,122,33052.42,5,5,5,15,High Value - Loyal
12472.0,0,37,16956.69,5,5,5,15,High Value - Loyal
12473.0,23,5,2807.77,4,3,5,12,Mid Value - Stable
12474.0,6,51,10798.77,5,5,5,15,High Value - Loyal
12475.0,23,2,1149.64,4,2,4,10,New / Low Engagement
12476.0,15,34,11859.98,5,5,5,15,High Value - Loyal
12477.0,25,11,18135.95,4,5,5,14,High Value - Loyal
12480.0,112,7,4298.42,3,4,5,12,Mid Value - Stable
12481.0,35,17,12030.23,4,5,5,14,High Value - Loyal
12482.0,419,32,21893.53,1,5,5,11,High Value - At Risk
12483.0,0,25,4520.150000000001,5,5,5,15,High Value - Loyal
12484.0,2,16,6303.85,5,5,5,15,High Value - Loyal
12485.0,498,1,708.1,1,1,3,5,Low Value - Likely Churn
12486.0,401,1,1037.28,1,1,3,5,Low Value - Likely Churn
12487.0,700,2,259.79999999999995,1,2,2,5,Low Value - Likely Churn
12488.0,9,2,767.45,5,2,3,10,New / Low Engagement
12489.0,305,1,334.93,2,1,2,5,Low Value - Likely Churn
12490.0,6,19,8586.74,5,5,5,15,High Value - Loyal
12491.0,8,1,460.40000000000003,5,1,2,8,New / Low Engagement
12492.0,32,3,715.21,4,3,3,10,Mid Value - Stable
12493.0,135,3,416.79,3,3,2,8,Mid Value - Stable
12494.0,9,15,1638.82,5,5,4,14,High Value - Loyal
12495.0,604,2,323.4,1,2,2,5,Low Value - Likely Churn
12496.0,589,2,54.09,1,2,1,4,Low Value - Likely Churn
12497.0,51,4,6211.75,4,3,5,12,Mid Value - Stable
12498.0,27,1,247.25,4,1,1,6,New / Low Engagement
12499.0,529,1,393.72,1,1,2,4,Low Value - Likely Churn
12500.0,5,24,5255.27,5,5,5,15,High Value - Loyal
12501.0,284,2,2089.68,2,2,4,8,Mid Value - Stable
12502.0,65,5,3723.87,3,3,5,11,Mid Value - Stable
12503.0,307,2,0.0,2,2,1,5,Low Value - Likely Churn
12504.0,386,2,297.0,2,2,2,6,Low Value - Likely Churn
12505.0,270,3,908.0,2,3,3,8,Mid Value - Stable
12506.0,202,1,73.5,3,1,1,5,Low Value - Likely Churn
12507.0,103,5,1797.31,3,3,4,10,Mid Value - Stable
12509.0,253,1,176.5,2,1,1,4,Low Value - Likely Churn
12510.0,112,16,3689.33,3,5,5,13,High Value - Loyal
12511.0,384,2,3065.77,2,2,5,9,Mid Value - Stable
12512.0,35,2,138.03,4,2,1,7,New / Low Engagement
12513.0,54,2,586.79,4,2,3,9,New / Low Engagement
12514.0,236,2,1597.76,2,2,4,8,Mid Value - Stable
12515.0,322,1,383.7,2,1,2,5,Low Value - Likely Churn
12516.0,47,4,2648.62,4,3,4,11,Mid Value - Stable
12517.0,43,3,1955.9,4,3,4,11,Mid Value - Stable
12518.0,28,3,1230.79,4,3,4,11,Mid Value - Stable
12519.0,33,3,695.19,4,3,3,10,Mid Value - Stable
12520.0,48,6,2582.51,4,4,4,12,Mid Value - Stable
12521.0,112,1,599.68,3,1,3,7,Mid Value - Stable
12522.0,8,2,192.72,5,2,1,8,New / Low Engagement
12523.0,8,28,3977.63,5,5,5,15,High Value - Loyal
12524.0,33,17,10783.56,4,5,5,14,High Value - Loyal
12525.0,460,8,835.1800000000001,1,4,3,8,High Value - At Risk
12526.0,23,2,1039.58,4,2,3,9,New / Low Engagement
12527.0,51,5,735.51,4,3,3,10,Mid Value - Stable
12528.0,33,7,1550.68,4,4,4,12,Mid Value - Stable
12529.0,492,2,311.78000000000003,1,2,2,5,Low Value - Likely Churn
12530.0,29,12,3689.86,4,5,5,14,High Value - Loyal
12531.0,650,2,1773.83,1,2,4,7,Mid Value - Stable
12533.0,588,6,1149.99,1,4,4,9,High Value - At Risk
12534.0,100,1,1089.18,3,1,3,7,Mid Value - Stable
12535.0,61,2,716.35,4,2,3,9,New / Low Engagement
12536.0,12,4,4279.71,5,3,5,13,High Value - Loyal
12537.0,378,1,732.94,2,1,3,6,Low Value - Likely Churn
12538.0,347,1,276.5,2,1,2,5,Low Value - Likely Churn
12539.0,231,7,8448.24,2,4,5,11,High Value - At Risk
12540.0,0,35,21219.02,5,5,5,15,High Value - Loyal
12541.0,142,2,536.14,3,2,2,7,Mid Value - Stable
12542.0,453,4,423.38,1,3,2,6,Low Value - Likely Churn
12543.0,417,1,980.25,1,1,3,5,Low Value - Likely Churn
12544.0,5,1,372.7,5,1,2,8,New / Low Engagement
12545.0,44,2,1000.39,4,2,3,9,New / Low Engagement
12546.0,16,3,1141.5,5,3,4,12,Mid Value - Stable
12547.0,167,3,383.58,3,3,2,8,Mid Value - Stable
12548.0,135,1,95.19999999999999,3,1,1,5,Low Value - Likely Churn
12549.0,545,6,1575.68,1,4,4,9,High Value - At Risk
12550.0,48,1,964.83,4,1,3,8,New / Low Engagement
12551.0,327,1,168.0,2,1,1,4,Low Value - Likely Churn
12552.0,8,2,437.82,5,2,2,9,New / Low Engagement
12553.0,27,14,3757.41,4,5,5,14,High Value - Loyal
12554.0,418,1,468.5,1,1,2,4,Low Value - Likely Churn
12555.0,651,1,129.23,1,1,1,3,Low Value - Likely Churn
12556.0,19,2,603.71,5,2,3,10,New / Low Engagement
12557.0,127,7,15726.14,3,4,5,12,Mid Value - Stable
12559.0,280,3,536.21,2,3,2,7,Mid Value - Stable
12560.0,70,3,1403.69,3,3,4,10,Mid Value - Stable
12561.0,272,1,238.85,2,1,1,4,Low Value - Likely Churn
12562.0,25,7,3692.65,4,4,5,13,High Value - Loyal
12563.0,378,1,249.24,2,1,1,4,Low Value - Likely Churn
12564.0,230,1,456.9,2,1,2,5,Low Value - Likely Churn
12565.0,251,2,131.17,2,2,1,5,Low Value - Likely Churn
12566.0,42,2,346.7,4,2,2,8,New / Low Engagement
